NUTS_CODE;YEAR;MONTH;HDD
AT;2014;1;525.25
AT;2014;2;439.82
AT;2014;3;357.54
AT;2014;4;247.32
AT;2014;5;190.67
AT;2014;6;66.99
AT;2014;7;36.09
AT;2014;8;67.1
AT;2014;9;116.31
AT;2014;10;215.68
AT;2014;11;345.7
AT;2014;12;518.51
AT;2015;1;545.53
AT;2015;2;517.54
AT;2015;3;428.3
AT;2015;4;295.81
AT;2015;5;153.85
AT;2015;6;57.83
AT;2015;7;15.83
AT;2015;8;23.34
AT;2015;9;153.46
AT;2015;10;297.07
AT;2015;11;353.98
AT;2015;12;473.88
AT;2016;1;586.8
AT;2016;2;434.88
AT;2016;3;439.17
AT;2016;4;279.4
AT;2016;5;176.4
AT;2016;6;53.48
AT;2016;7;29.77
AT;2016;8;41.15
AT;2016;9;78.23
AT;2016;10;309.15
AT;2016;11;440.29
AT;2016;12;550.58
AT;2017;1;723.41
AT;2017;2;447.9
AT;2017;3;349.14
AT;2017;4;317.57
AT;2017;5;133.99
AT;2017;6;27.66
AT;2017;7;32.04
AT;2017;8;25.15
AT;2017;9;177.86
AT;2017;10;244.55
AT;2017;11;446.92
AT;2017;12;571.88
AT;2018;1;514.15
AT;2018;2;592.82
AT;2018;3;503.31
AT;2018;4;163.73
AT;2018;5;88.07
AT;2018;6;46.71
AT;2018;7;19.93
AT;2018;8;24.36
AT;2018;9;87.98
AT;2018;10;219.13
AT;2018;11;391.24
AT;2018;12;542.22
AT;2019;1;625.35
AT;2019;2;441.02
AT;2019;3;382.63
AT;2019;4;272.76
AT;2019;5;248.64
AT;2019;6;14.96
AT;2019;7;24.24
AT;2019;8;19.78
AT;2019;9;107.88
AT;2019;10;230.26
AT;2019;11;394
AT;2019;12;517.98
AT;2020;1;554.71
AT;2020;2;425.54
AT;2020;3;430.05
AT;2020;4;248.88
AT;2020;5;188.9
AT;2020;6;68.25
AT;2020;7;33.24
AT;2020;8;24.45
AT;2020;9;95.24
AT;2020;10;288.94
AT;2020;11;415.61
AT;2020;12;548.98
AT1;2014;1;502.89
AT1;2014;2;407.64
AT1;2014;3;295.91
AT1;2014;4;180.91
AT1;2014;5;130.8
AT1;2014;6;23.48
AT1;2014;7;4.75
AT1;2014;8;18.41
AT1;2014;9;69.49
AT1;2014;10;172.37
AT1;2014;11;314.47
AT1;2014;12;472.82
AT1;2015;1;491.54
AT1;2015;2;464.09
AT1;2015;3;378.42
AT1;2015;4;233.85
AT1;2015;5;100.14
AT1;2015;6;22.4
AT1;2015;7;1.69
AT1;2015;8;3.44
AT1;2015;9;87.16
AT1;2015;10;260.49
AT1;2015;11;312.72
AT1;2015;12;439.04
AT1;2016;1;558.43
AT1;2016;2;369.44
AT1;2016;3;382.13
AT1;2016;4;233.02
AT1;2016;5;108.66
AT1;2016;6;6.26
AT1;2016;7;6.06
AT1;2016;8;13.41
AT1;2016;9;38.92
AT1;2016;10;268.85
AT1;2016;11;407.99
AT1;2016;12;538.8
AT1;2017;1;694.92
AT1;2017;2;429.19
AT1;2017;3;303.84
AT1;2017;4;266.42
AT1;2017;5;83.68
AT1;2017;6;3.53
AT1;2017;7;5.04
AT1;2017;8;4.39
AT1;2017;9;106.58
AT1;2017;10;199.45
AT1;2017;11;389.72
AT1;2017;12;502.52
AT1;2018;1;462.8
AT1;2018;2;545.85
AT1;2018;3;476.09
AT1;2018;4;97.57
AT1;2018;5;31.51
AT1;2018;6;12.7
AT1;2018;7;5.54
AT1;2018;8;4.54
AT1;2018;9;58.42
AT1;2018;10;166.97
AT1;2018;11;362.46
AT1;2018;12;493.41
AT1;2019;1;566.1
AT1;2019;2;393.93
AT1;2019;3;317.18
AT1;2019;4;216
AT1;2019;5;175.8
AT1;2019;6;.14
AT1;2019;7;3.18
AT1;2019;8;1.13
AT1;2019;9;54.97
AT1;2019;10;197.43
AT1;2019;11;330.64
AT1;2019;12;470.28
AT1;2020;1;532.85
AT1;2020;2;365.12
AT1;2020;3;368.69
AT1;2020;4;208.84
AT1;2020;5;139.35
AT1;2020;6;18.63
AT1;2020;7;8.83
AT1;2020;8;2.8
AT1;2020;9;59.9
AT1;2020;10;229.78
AT1;2020;11;381.01
AT1;2020;12;484.33
AT11;2014;1;473.82
AT11;2014;2;394.23
AT11;2014;3;260.4
AT11;2014;4;144.6
AT11;2014;5;95.3
AT11;2014;6;5.29
AT11;2014;7;1.35
AT11;2014;8;3.6
AT11;2014;9;45.71
AT11;2014;10;140.6
AT11;2014;11;283.57
AT11;2014;12;467.87
AT11;2015;1;476.24
AT11;2015;2;437.26
AT11;2015;3;350.68
AT11;2015;4;200.29
AT11;2015;5;62.8
AT11;2015;6;9.93
AT11;2015;7;0
AT11;2015;8;.14
AT11;2015;9;49.42
AT11;2015;10;234.06
AT11;2015;11;297.04
AT11;2015;12;457.43
AT11;2016;1;554.22
AT11;2016;2;352.41
AT11;2016;3;349.29
AT11;2016;4;183.94
AT11;2016;5;76.23
AT11;2016;6;.16
AT11;2016;7;.16
AT11;2016;8;8.21
AT11;2016;9;21.88
AT11;2016;10;242.16
AT11;2016;11;371.84
AT11;2016;12;531.4
AT11;2017;1;679.52
AT11;2017;2;414.47
AT11;2017;3;272.04
AT11;2017;4;225.42
AT11;2017;5;56.13
AT11;2017;6;1.34
AT11;2017;7;1.34
AT11;2017;8;.69
AT11;2017;9;77.9
AT11;2017;10;181.51
AT11;2017;11;366.98
AT11;2017;12;481.22
AT11;2018;1;456.91
AT11;2018;2;516.91
AT11;2018;3;449.21
AT11;2018;4;76.67
AT11;2018;5;14.77
AT11;2018;6;3.1
AT11;2018;7;.93
