DATAFLOW,freq,siec,partner,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2018-01,0.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2018-02,0.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2018-03,0.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2018-04,0.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2018-05,0.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2018-06,0.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2018-07,0.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2018-08,0.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2018-09,0.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2018-10,0.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2018-11,0.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2018-12,0.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2019-01,0.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2019-02,0.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2019-03,0.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2019-04,0.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2019-05,0.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2019-06,0.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2019-07,0.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2019-08,0.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2019-09,0.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2019-10,0.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2019-11,0.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2019-12,0.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2020-12,0.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2021-01,0.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2021-02,0.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2021-03,0.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AT,2014-01,4234.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AT,2014-02,3680.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AT,2014-03,3492.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AT,2014-04,3475.000,
ESTAT:NRG_TE_GASM(1.0),M,G3000,TOTAL,MIO_M3,AT,2014-05,3508.000,
