DATAFLOW,freq,siec,partner,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2018-01,0.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2018-02,0.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2018-03,0.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2018-04,0.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2018-05,0.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2018-06,0.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2018-07,0.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2018-08,0.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2018-09,0.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2018-10,0.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2018-11,0.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2018-12,0.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2019-01,0.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2019-02,0.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2019-03,0.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2019-04,0.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2019-05,0.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2019-06,0.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2019-07,0.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2019-08,0.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2019-09,0.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2019-10,0.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2019-11,0.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2019-12,0.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2020-12,0.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2021-01,0.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2021-02,0.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AL,2021-03,0.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AT,2014-01,4181.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AT,2014-02,3517.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AT,2014-03,4269.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AT,2014-04,4896.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AT,2014-05,4796.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AT,2014-06,4238.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AT,2014-07,4166.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AT,2014-08,3487.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AT,2014-09,2520.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AT,2014-10,2617.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AT,2014-11,2651.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AT,2014-12,2697.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AT,2015-01,2720.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AT,2015-02,2276.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AT,2015-03,3286.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AT,2015-04,3444.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AT,2015-05,4272.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AT,2015-06,4317.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AT,2015-07,4562.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AT,2015-08,4344.000,
ESTAT:NRG_TI_GASM(1.0),M,G3000,TOTAL,MIO_M3,AT,2015-09,4319.000,
