,import_price_gas,month
0,0.4048,1960-01
1,0.4048,1960-02
2,0.4048,1960-03
3,0.4048,1960-04
4,0.4048,1960-05
5,0.4048,1960-06
6,0.4048,1960-07
7,0.4048,1960-08
8,0.4048,1960-09
9,0.4048,1960-10
10,0.4048,1960-11
11,0.4048,1960-12
12,0.4048,1961-01
13,0.4048,1961-02
14,0.4048,1961-03
15,0.4048,1961-04
16,0.4048,1961-05
17,0.4048,1961-06
18,0.4048,1961-07
19,0.4048,1961-08
20,0.4048,1961-09
21,0.4048,1961-10
22,0.4048,1961-11
23,0.4048,1961-12
24,0.4048,1962-01
25,0.4048,1962-02
26,0.4048,1962-03
27,0.4048,1962-04
28,0.4048,1962-05
29,0.4048,1962-06
30,0.4048,1962-07
31,0.4048,1962-08
32,0.4048,1962-09
33,0.4048,1962-10
34,0.4048,1962-11
35,0.4048,1962-12
36,0.3913,1963-01
37,0.3913,1963-02
38,0.3913,1963-03
39,0.3913,1963-04
40,0.3913,1963-05
41,0.3913,1963-06
42,0.3913,1963-07
43,0.3913,1963-08
44,0.3913,1963-09
45,0.3913,1963-10
46,0.3913,1963-11
47,0.3913,1963-12
48,0.3841,1964-01
49,0.3841,1964-02
50,0.3841,1964-03
51,0.3841,1964-04
52,0.3841,1964-05
53,0.3841,1964-06
54,0.3841,1964-07
55,0.3841,1964-08
56,0.3841,1964-09
57,0.3841,1964-10
58,0.3841,1964-11
59,0.3841,1964-12
60,0.4108,1965-01
61,0.4108,1965-02
62,0.4108,1965-03
63,0.4108,1965-04
64,0.4108,1965-05
65,0.4108,1965-06
66,0.4108,1965-07
67,0.4108,1965-08
68,0.4108,1965-09
69,0.4108,1965-10
70,0.4108,1965-11
71,0.4108,1965-12
72,0.4249,1966-01
73,0.4249,1966-02
74,0.4249,1966-03
75,0.4249,1966-04
76,0.4249,1966-05
77,0.4249,1966-06
78,0.4249,1966-07
79,0.4249,1966-08
80,0.4249,1966-09
81,0.4249,1966-10
82,0.4249,1966-11
83,0.4249,1966-12
84,0.4567,1967-01
85,0.4567,1967-02
86,0.4567,1967-03
87,0.4567,1967-04
88,0.4567,1967-05
89,0.4567,1967-06
90,0.4567,1967-07
91,0.4567,1967-08
92,0.4567,1967-09
93,0.4567,1967-10
94,0.4567,1967-11
95,0.4567,1967-12
96,0.4518,1968-01
97,0.4518,1968-02
98,0.4518,1968-03
99,0.4518,1968-04
100,0.4518,1968-05
101,0.4518,1968-06
102,0.4518,1968-07
103,0.4518,1968-08
104,0.4518,1968-09
105,0.4518,1968-10
106,0.4518,1968-11
