DATAFLOW,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2018-01,7.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2018-02,6.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2018-03,6.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2018-04,7.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2018-05,7.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2018-06,7.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2018-07,8.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2018-08,9.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2018-09,10.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2018-10,9.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2018-11,8.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2018-12,9.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2019-01,9.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2019-02,8.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2019-03,7.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2019-04,7.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2019-05,7.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2019-06,6.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2019-07,6.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2019-08,6.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2019-09,6.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2019-10,6.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2019-11,6.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2019-12,6.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2020-01,6.126,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2020-02,5.704,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2020-03,6.062,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2020-05,2.366,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2020-06,4.819,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2020-07,5.111,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2020-08,5.246,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2020-09,5.030,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2020-10,5.085,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2020-11,4.913,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2020-12,5.016,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2021-01,3.978,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2021-02,3.569,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AL,2021-03,3.849,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AT,2014-01,1045.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AT,2014-02,878.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AT,2014-03,744.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AT,2014-04,570.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AT,2014-05,515.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AT,2014-06,389.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AT,2014-07,389.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AT,2014-08,375.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AT,2014-09,468.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AT,2014-10,637.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AT,2014-11,760.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AT,2014-12,982.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AT,2015-01,1060.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AT,2015-02,964.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AT,2015-03,907.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AT,2015-04,628.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AT,2015-05,454.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AT,2015-06,346.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AT,2015-07,397.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AT,2015-08,401.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AT,2015-09,501.000,
ESTAT:NRG_CB_GASM(1.0),M,IC_OBS,G3000,MIO_M3,AT,2015-10,746.000,
